transition_id,tier,selection_role,snr_rung,arm,criterion,realization,label,measurement,measurement_available,invalid_reason
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,1,non-CL,2.4099017827757696,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,2,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,2,CL,4.139125527031471,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,2,non-CL,0.5977400940164054,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,2,non-CL,1.9669324136380464,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,3,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,3,CL,4.787287260422482,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,3,non-CL,196.3756446528513,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,3,non-CL,2.866156974376329,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,4,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,4,CL,3.752068019771679,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,4,non-CL,0.5507511005564919,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,4,non-CL,2.3595531818685753,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,5,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,5,CL,6.809066024000721,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,5,non-CL,0.6060784637135553,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,5,non-CL,2.747749640851882,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,6,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,6,CL,5.062589598423242,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,6,non-CL,0.5471256148500773,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,6,non-CL,2.393707553943051,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,7,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,7,CL,4.082032839548949,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,7,non-CL,0.5107375353049316,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,7,non-CL,1.2181485257857196,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,8,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,8,CL,5.965968065767791,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,8,non-CL,0.5541948818581485,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,8,non-CL,2.0938772297099253,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,9,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,9,CL,4.57018412567677,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,9,non-CL,0.7042256538254641,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,9,non-CL,1.9980810949552772,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,10,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,10,CL,3.6383224678036177,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,10,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,10,non-CL,1.242294070089062,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,11,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,11,CL,4.473837270080504,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,11,non-CL,0.5021119056816569,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,11,non-CL,1.298762890092291,True,Green catalogue note uses N_sigma(Hbeta) >= 3
