transition_id,object_id,reference_tier,source_family,criterion_id,snr,comparison,p_faint_only,p_matched,delta_p_second_minus_first,u_faint_only,u_matched,delta_u_second_minus_first,N_classifiable_faint_only,N_classifiable_matched
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.5,0.5,0.0,0.96,0.96,0.0,2,2
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.04,0.0,-0.04,0.0,0.0,0.0,50,50
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,0.6666666666666666,,1.0,0.52,-0.48,0,24
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,0.23076923076923078,,1.0,0.22,-0.78,0,39
J122945.61+440934.5,J122945.61+440934.5,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.12,0.3,0.18,0.0,0.0,0.0,50,50
J122945.61+440934.5,J122945.61+440934.5,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J122945.61+440934.5,J122945.61+440934.5,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.02,0.06,0.039999999999999994,0.0,0.0,0.0,50,50
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
