robustness,arm,snr,criterion_id,omitted_unit,N_transition_eligible,N_transition_classifiable,R_equal_transition,U_equal_transition
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,Dong2025_SDSS_LAMOST,22,21,0.13904761904761906,0.045454545454545456
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,Green2022,45,41,0.13756097560975608,0.08888888888888889
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,LaMassa2015,46,42,0.12904761904761908,0.08695652173913043
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,MacLeod2016,46,42,0.13,0.08695652173913043
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,Potts2021,44,40,0.14049999999999999,0.09090909090909091
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,Ruan2016,45,41,0.12975609756097561,0.08888888888888889
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,Runnoe2016,46,42,0.11142857142857145,0.08695652173913043
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,Yang2025_turn_on,43,39,0.14564102564102563,0.09302325581395349
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,GREEN2022_FINAL,Zeltyn2024_SDSSV,39,36,0.13055555555555556,0.07692307692307693
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,Dong2025_SDSS_LAMOST,22,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,Green2022,45,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,LaMassa2015,46,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,MacLeod2016,46,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,Potts2021,44,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,Ruan2016,45,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,Runnoe2016,46,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,Yang2025_turn_on,43,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,39,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,Dong2025_SDSS_LAMOST,22,20,0.38326865931468185,0.7400000000000001
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,Green2022,45,38,0.38935838406386303,0.6973333333333334
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,LaMassa2015,46,40,0.3897004063811377,0.6878260869565217
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,MacLeod2016,46,39,0.37747050227125234,0.6943478260869566
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,Potts2021,44,37,0.4046986851454845,0.7009090909090909
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,Ruan2016,45,38,0.3759064428072126,0.6875555555555556
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,Runnoe2016,46,39,0.37690070170145173,0.6917391304347826
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,Yang2025_turn_on,43,37,0.40636174800805785,0.6795348837209302
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,5,YANG2024_FINAL,Zeltyn2024_SDSSV,39,32,0.40440513117835986,0.6938461538461538
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,Dong2025_SDSS_LAMOST,17,17,0.40705882352941175,0.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,Green2022,25,23,0.3634782608695652,0.08
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,LaMassa2015,26,24,0.34833333333333333,0.07692307692307693
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,MacLeod2016,26,24,0.35333333333333333,0.07692307692307693
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,Potts2021,25,23,0.3939130434782609,0.08
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,Ruan2016,26,24,0.37166666666666665,0.07692307692307693
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,Runnoe2016,26,24,0.34833333333333333,0.07692307692307693
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,Yang2025_turn_on,24,22,0.42181818181818187,0.08333333333333333
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,GREEN2022_FINAL,Zeltyn2024_SDSSV,21,19,0.3757894736842105,0.09523809523809523
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,Dong2025_SDSS_LAMOST,17,0,,1.0
