condition_id,transition_id,object_id,reference_tier,source_family,arm,snr,criterion_id,N_eligible_realizations,N_fit_completed,N_fit_valid,N_classifiable,N_CL,N_nonCL,N_unclassifiable,p_i,u_i,applicable_by_design
J083826.50+371906.7|faint_only|snr5,J083826.50+371906.7,J083826.50+371906.7,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J083826.50+371906.7|faint_only|snr5,J083826.50+371906.7,J083826.50+371906.7,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,YANG2024_FINAL,50,0,0,0,0,0,50,,1.0,False
J083826.50+371906.7|matched|snr5,J083826.50+371906.7,J083826.50+371906.7,GOLD,Dong2025_SDSS_LAMOST,matched,5,GREEN2022_FINAL,50,0,0,0,0,0,50,,1.0,False
J083826.50+371906.7|matched|snr5,J083826.50+371906.7,J083826.50+371906.7,GOLD,Dong2025_SDSS_LAMOST,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J083826.50+371906.7|matched|snr5,J083826.50+371906.7,J083826.50+371906.7,GOLD,Dong2025_SDSS_LAMOST,matched,5,YANG2024_FINAL,50,0,0,0,0,0,50,,1.0,False
J084016.42+220624.6|faint_only|snr5,J084016.42+220624.6,J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,GREEN2022_FINAL,50,50,50,50,10,40,0,0.2,0.0,True
J084016.42+220624.6|faint_only|snr5,J084016.42+220624.6,J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J084016.42+220624.6|faint_only|snr5,J084016.42+220624.6,J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,YANG2024_FINAL,50,0,0,0,0,0,50,,1.0,False
J084016.42+220624.6|matched|snr5,J084016.42+220624.6,J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,GREEN2022_FINAL,50,50,50,50,12,38,0,0.24,0.0,True
J084016.42+220624.6|matched|snr5,J084016.42+220624.6,J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J084016.42+220624.6|matched|snr5,J084016.42+220624.6,J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,YANG2024_FINAL,50,0,0,0,0,0,50,,1.0,False
J085512.13+032950.6|faint_only|snr10,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,50,50,50,50,50,0,0,1.0,0.0,True
J085512.13+032950.6|faint_only|snr10,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J085512.13+032950.6|faint_only|snr10,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,50,50,25,25,1,24,25,0.04,0.5,True
J085512.13+032950.6|faint_only|snr5,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,50,50,50,50,20,30,0,0.4,0.0,True
J085512.13+032950.6|faint_only|snr5,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J085512.13+032950.6|faint_only|snr5,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,50,50,27,27,1,26,23,0.037037037037037035,0.46,True
J085512.13+032950.6|matched|snr10,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,10,GREEN2022_FINAL,50,50,50,50,35,15,0,0.7,0.0,True
J085512.13+032950.6|matched|snr10,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J085512.13+032950.6|matched|snr10,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,10,YANG2024_FINAL,50,50,20,20,1,19,30,0.05,0.6,True
J085512.13+032950.6|matched|snr5,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J085512.13+032950.6|matched|snr5,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J085512.13+032950.6|matched|snr5,J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,50,50,23,23,2,21,27,0.08695652173913043,0.54,True
J095536.70+103752.4|faint_only|snr5,J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,GREEN2022_FINAL,50,50,50,50,50,0,0,1.0,0.0,True
J095536.70+103752.4|faint_only|snr5,J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J095536.70+103752.4|faint_only|snr5,J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,YANG2024_FINAL,50,50,31,31,6,25,19,0.1935483870967742,0.38,True
J095536.70+103752.4|matched|snr5,J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,GREEN2022_FINAL,50,50,50,50,50,0,0,1.0,0.0,True
J095536.70+103752.4|matched|snr5,J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J095536.70+103752.4|matched|snr5,J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,YANG2024_FINAL,50,50,29,29,19,10,21,0.6551724137931034,0.42,True
J1000+0354|faint_only|snr5,J1000+0354,J1000+0354,GOLD,Yang2025_turn_on,faint_only,5,GREEN2022_FINAL,50,50,50,50,16,34,0,0.32,0.0,True
J1000+0354|faint_only|snr5,J1000+0354,J1000+0354,GOLD,Yang2025_turn_on,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1000+0354|faint_only|snr5,J1000+0354,J1000+0354,GOLD,Yang2025_turn_on,faint_only,5,YANG2024_FINAL,50,50,0,0,0,0,50,,1.0,True
J1003+0202|faint_only|snr10,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,10,GREEN2022_FINAL,50,50,50,50,1,49,0,0.02,0.0,True
J1003+0202|faint_only|snr10,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0202|faint_only|snr10,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,10,YANG2024_FINAL,50,50,6,6,0,6,44,0.0,0.88,True
J1003+0202|faint_only|snr5,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1003+0202|faint_only|snr5,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0202|faint_only|snr5,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,5,YANG2024_FINAL,50,50,13,13,0,13,37,0.0,0.74,True
J1003+0202|matched|snr10,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,10,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1003+0202|matched|snr10,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0202|matched|snr10,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,10,YANG2024_FINAL,50,50,4,4,1,3,46,0.25,0.92,True
J1003+0202|matched|snr5,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1003+0202|matched|snr5,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0202|matched|snr5,J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,5,YANG2024_FINAL,50,50,8,8,0,8,42,0.0,0.84,True
J1003+0458|faint_only|snr10,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,faint_only,10,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1003+0458|faint_only|snr10,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0458|faint_only|snr10,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,faint_only,10,YANG2024_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0458|faint_only|snr5,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,faint_only,5,GREEN2022_FINAL,50,50,50,50,1,49,0,0.02,0.0,True
J1003+0458|faint_only|snr5,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0458|faint_only|snr5,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,faint_only,5,YANG2024_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0458|matched|snr5,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1003+0458|matched|snr5,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1003+0458|matched|snr5,J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,matched,5,YANG2024_FINAL,50,0,0,0,0,0,50,,1.0,False
J1009+3539|faint_only|snr10,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,10,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1009+3539|faint_only|snr10,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1009+3539|faint_only|snr10,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,10,YANG2024_FINAL,50,50,3,3,3,0,47,1.0,0.94,True
J1009+3539|faint_only|snr5,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1009+3539|faint_only|snr5,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1009+3539|faint_only|snr5,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,5,YANG2024_FINAL,50,50,3,3,2,1,47,0.6666666666666666,0.94,True
J1009+3539|matched|snr10,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,10,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1009+3539|matched|snr10,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1009+3539|matched|snr10,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,10,YANG2024_FINAL,50,50,1,1,1,0,49,1.0,0.98,True
J1009+3539|matched|snr5,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J1009+3539|matched|snr5,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J1009+3539|matched|snr5,J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,5,YANG2024_FINAL,50,50,2,2,1,1,48,0.5,0.96,True
J101403.44+193609.1|faint_only|snr5,J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J101403.44+193609.1|faint_only|snr5,J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J101403.44+193609.1|faint_only|snr5,J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,YANG2024_FINAL,50,50,47,47,13,34,3,0.2765957446808511,0.06,True
J101403.44+193609.1|matched|snr5,J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J101403.44+193609.1|matched|snr5,J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J101403.44+193609.1|matched|snr5,J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,matched,5,YANG2024_FINAL,50,50,47,47,12,35,3,0.2553191489361702,0.06,True
J101417.87+351106.8|faint_only|snr5,J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,GREEN2022_FINAL,50,50,50,50,43,7,0,0.86,0.0,True
J101417.87+351106.8|faint_only|snr5,J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J101417.87+351106.8|faint_only|snr5,J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,YANG2024_FINAL,50,50,10,10,2,8,40,0.2,0.8,True
J101417.87+351106.8|matched|snr5,J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J101417.87+351106.8|matched|snr5,J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J101417.87+351106.8|matched|snr5,J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,matched,5,YANG2024_FINAL,50,50,9,9,2,7,41,0.2222222222222222,0.82,True
J104043.38+273518.9|faint_only|snr5,J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J104043.38+273518.9|faint_only|snr5,J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J104043.38+273518.9|faint_only|snr5,J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,YANG2024_FINAL,50,50,20,20,2,18,30,0.1,0.6,True
J104043.38+273518.9|matched|snr5,J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J104043.38+273518.9|matched|snr5,J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J104043.38+273518.9|matched|snr5,J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,matched,5,YANG2024_FINAL,50,50,18,18,2,16,32,0.1111111111111111,0.64,True
J104111.56+555142.4|faint_only|snr5,J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,GREEN2022_FINAL,50,50,50,50,50,0,0,1.0,0.0,True
J104111.56+555142.4|faint_only|snr5,J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J104111.56+555142.4|faint_only|snr5,J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,YANG2024_FINAL,50,50,32,32,32,0,18,1.0,0.36,True
J104111.56+555142.4|matched|snr5,J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,GREEN2022_FINAL,50,50,50,50,1,49,0,0.02,0.0,True
J104111.56+555142.4|matched|snr5,J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
