transition_id,object_id,reference_tier,source_family,arm,snr,N_both_classifiable,N_agree,N_disagree,disagreement_i,N_YANG_CL_GREEN_NONCL,N_YANG_NONCL_GREEN_CL
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,matched,10,39,30,9,0.23076923076923078,9,0
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,29,21,8,0.27586206896551724,8,0
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,25,24,1,0.04,1,0
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,matched,5,17,12,5,0.29411764705882354,5,0
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,matched,10,6,6,0,0.0,0,0
J132421.98+280238.3,J132421.98+280238.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,48,25,23,0.4791666666666667,23,0
J132421.98+280238.3,J132421.98+280238.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,43,23,20,0.46511627906976744,20,0
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,32,22,10,0.3125,7,3
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,31,3,28,0.9032258064516129,0,28
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,matched,5,29,22,7,0.2413793103448276,7,0
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,matched,10,28,13,15,0.5357142857142857,3,12
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,20,14,6,0.3,2,4
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,22,1,21,0.9545454545454546,0,21
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,18,14,4,0.2222222222222222,4,0
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,matched,10,22,5,17,0.7727272727272727,0,17
J140207.59+284859.3,J140207.59+284859.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,5,3,2,0.4,2,0
J140207.59+284859.3,J140207.59+284859.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,5,3,2,0.4,2,0
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,matched,5,4,0,4,1.0,4,0
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,matched,10,5,0,5,1.0,5,0
J150026.17+374732.4,J150026.17+374732.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,13,6,7,0.5384615384615384,7,0
J150026.17+374732.4,J150026.17+374732.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,12,7,5,0.4166666666666667,5,0
J152904.77+024640.4,J152904.77+024640.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,12,9,3,0.25,3,0
J160157.53+490207.8,J160157.53+490207.8,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,8,8,0,0.0,0,0
J160157.53+490207.8,J160157.53+490207.8,GOLD,Dong2025_SDSS_LAMOST,matched,5,8,2,6,0.75,5,1
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,faint_only,5,13,13,0,0.0,0,0
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,faint_only,10,25,25,0,0.0,0,0
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,matched,5,11,8,3,0.2727272727272727,1,2
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,matched,10,20,20,0,0.0,0,0
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,faint_only,5,21,15,6,0.2857142857142857,6,0
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,faint_only,10,13,3,10,0.7692307692307693,2,8
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,matched,5,17,12,5,0.29411764705882354,5,0
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,matched,10,7,3,4,0.5714285714285714,1,3
SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,GOLD,Ruan2016,matched,5,8,2,6,0.75,6,0
