scope,arm,snr_rung,n_total,n_supported,support_fraction,d093_disposition
SOURCE_FAMILY:LaMassa2015,matched,10,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:LaMassa2015,matched,15,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,matched,20,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,matched,30,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,matched,40,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,faint_only,5,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:MacLeod2016,faint_only,10,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:MacLeod2016,faint_only,15,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,faint_only,20,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,faint_only,30,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,faint_only,40,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,matched,5,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:MacLeod2016,matched,10,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:MacLeod2016,matched,15,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,matched,20,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,matched,30,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:MacLeod2016,matched,40,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,faint_only,5,3,3,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Potts2021,faint_only,10,3,2,0.6666666666666666,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Potts2021,faint_only,15,3,1,0.3333333333333333,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,faint_only,20,3,1,0.3333333333333333,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,faint_only,30,3,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,faint_only,40,3,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,matched,5,3,3,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Potts2021,matched,10,3,2,0.6666666666666666,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Potts2021,matched,15,3,1,0.3333333333333333,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,matched,20,3,1,0.3333333333333333,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,matched,30,3,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Potts2021,matched,40,3,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Ruan2016,faint_only,5,2,2,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Ruan2016,faint_only,10,2,1,0.5,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Ruan2016,faint_only,15,2,1,0.5,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Ruan2016,faint_only,20,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
