transition_id,reference_tier,source_family,event,reference_origin,bright_instrument,faint_instrument,instrument_pair,bright_snr_hbeta,faint_snr_hbeta,bright_snr_continuum,faint_snr_continuum,yang_applicable,green_applicable,faint_only_support_5,matched_support_5,faint_only_support_10,matched_support_10,faint_only_support_15,matched_support_15,faint_only_support_20,matched_support_20,faint_only_support_30,matched_support_30,faint_only_support_40,matched_support_40
J152904.77+024640.4,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,27.365271216161236,6.935648515945823,26.476055080600723,6.18187988745713,True,True,True,True,False,False,False,False,False,False,False,False,False,False
J160157.53+490207.8,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,19.545717175107995,9.57573511607229,19.771353772672622,10.238964835283412,True,True,True,True,False,False,False,False,False,False,False,False,False,False
SDSSJ000236.25-002724.8,GOLD,Potts2021,turn_off,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,13.672298075335704,12.394275837080778,13.258331061726546,12.611728340213876,True,True,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ012648.08-083948.0,GOLD,Ruan2016,turn_off,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,15.118498007634404,18.339850909174203,19.220573113274888,22.725203573447423,True,True,True,True,True,True,True,True,False,False,False,False,False,False
SDSSJ015957.64+003310.4,GOLD,LaMassa2015,turn_off,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,14.41928587420741,12.27289409736932,12.709521333049134,14.21314345530114,False,True,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ021359.79+004226.81,GOLD,Green2022,turn_off,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,29.12606139450405,19.94088198413188,28.86903128439609,17.182879109998133,True,True,True,True,True,True,True,True,False,False,False,False,False,False
SDSSJ082942.66+415436.8,GOLD,Potts2021,turn_on,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,25.604863,26.257976,22.863797,22.24216,True,True,True,True,True,True,True,True,True,True,False,False,False,False
SDSSJ101152.98+544206.4,GOLD,Runnoe2016,turn_off,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,23.641411807977857,14.108299609346904,23.583786000993555,15.291776997996214,True,True,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ102152.34+464515.6,GOLD,MacLeod2016,turn_off,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,26.086349,13.875232,25.48715,14.628377,True,True,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ105325.40+302419.34,GOLD,Green2022,turn_on,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,12.731029,10.35431,13.159698,10.6657,True,True,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ135855.83+493414.2,GOLD,Potts2021,turn_on,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,14.314620213363352,9.601269599937815,12.285203866375484,8.073042047172182,True,True,True,True,False,False,False,False,False,False,False,False,False,False
SDSSJ233602.98+001728.7,GOLD,Ruan2016,turn_on,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,5.413369,8.93409,6.222489,9.880472,True,True,True,True,False,False,False,False,False,False,False,False,False,False
SDSSJ012256.19-000252.68,SILVER,MacLeod2016,sensitivity_event,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,14.27177,11.372296,12.972186,10.272626,True,True,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ081319.34+460849.5,SILVER,Yang2018,sensitivity_event,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,29.613148,32.415852,29.294139,32.802233,True,True,True,True,True,True,True,True,True,True,True,False,False,False
SDSSJ105058.42+241351.18,SILVER,Green2022,sensitivity_event,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,17.53553,12.054025,17.886531,13.81583,True,True,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ222132.41-010928.70,SILVER,MacLeod2016,sensitivity_event,D091_VALIDATED,SDSS_LEGACY,SDSS_LEGACY,SDSS_LEGACY/SDSS_LEGACY,21.971848,15.304189,22.408858,15.054314,True,True,True,True,True,True,True,True,False,False,False,False,False,False
