snr,transition_id,object_id,source_family,p_i_faint_only,p_i_matched,delta_p_faint_only_minus_matched,u_i_faint_only,u_i_matched,delta_u_faint_only_minus_matched
5,J140207.59+284859.3,J140207.59+284859.3,Dong2025_SDSS_LAMOST,0.34,0.16,"arm
    0.18
Name: (J140207.59+284859.3, J140207.59+284859.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J140207.59+284859.3, J140207.59+284859.3, Dong2025_SDSS_LAMOST), dtype: float64"
5,J140515.59+542458.0,J140515.59+542458.0,Zeltyn2024_SDSSV,0.02,0.0,"arm
    0.02
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64"
5,J150026.17+374732.4,J150026.17+374732.4,Dong2025_SDSS_LAMOST,0.0,0.04,"arm
   -0.04
Name: (J150026.17+374732.4, J150026.17+374732.4, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J150026.17+374732.4, J150026.17+374732.4, Dong2025_SDSS_LAMOST), dtype: float64"
5,J152904.77+024640.4,J152904.77+024640.4,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J152904.77+024640.4, J152904.77+024640.4, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J152904.77+024640.4, J152904.77+024640.4, Dong2025_SDSS_LAMOST), dtype: float64"
5,J160157.53+490207.8,J160157.53+490207.8,Dong2025_SDSS_LAMOST,1.0,0.42,"arm
    0.58
Name: (J160157.53+490207.8, J160157.53+490207.8, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J160157.53+490207.8, J160157.53+490207.8, Dong2025_SDSS_LAMOST), dtype: float64"
5,SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,Potts2021,0.0,0.06,"arm
   -0.06
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64"
5,SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,Ruan2016,0.52,0.24,"arm
    0.28
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64"
5,SDSSJ015957.64+003310.4,SDSSJ015957.64+003310.4,LaMassa2015,1.0,0.26,"arm
    0.74
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64"
5,SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,Green2022,0.02,0.0,"arm
    0.02
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64"
5,SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,Potts2021,0.52,0.0,"arm
    0.52
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64"
5,SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,Runnoe2016,1.0,1.0,"arm
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64"
5,SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,MacLeod2016,1.0,0.22,"arm
    0.78
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64"
5,SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,Green2022,0.74,0.04,"arm
    0.7
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64"
5,SDSSJ135855.83+493414.2,SDSSJ135855.83+493414.2,Potts2021,0.38,0.0,"arm
    0.38
Name: (SDSSJ135855.83+493414.2, SDSSJ135855.83+493414.2, Potts2021), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ135855.83+493414.2, SDSSJ135855.83+493414.2, Potts2021), dtype: float64"
