arm,transition_id,object_id,source_family,p_i_5,p_i_10,delta_p_10_minus_5,u_i_5,u_i_10,delta_u_10_minus_5
faint_only,SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,Green2022,0.74,1.0,"snr
    0.26
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64"
matched,J075934.95+322143.3,J075934.95+322143.3,Zeltyn2024_SDSSV,0.0,0.28,"snr
    0.28
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64"
matched,J080133.29+341737.6,J080133.29+341737.6,Zeltyn2024_SDSSV,0.0,0.2,"snr
    0.2
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64"
matched,J080711.72+194439.7,J080711.72+194439.7,Zeltyn2024_SDSSV,0.0,0.04,"snr
    0.04
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64"
matched,J083716.47+035606.1,J083716.47+035606.1,Zeltyn2024_SDSSV,0.98,0.98,"snr
    0.0
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64"
matched,J085512.13+032950.6,J085512.13+032950.6,Zeltyn2024_SDSSV,0.0,0.7,"snr
    0.7
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64"
matched,J1003+0202,J1003+0202,Yang2025_turn_on,0.0,0.0,"snr
    0.0
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64"
matched,J1009+3539,J1009+3539,Yang2025_turn_on,0.0,0.0,"snr
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64"
matched,J104427.75+271806.3,J104427.75+271806.3,Dong2025_SDSS_LAMOST,0.04,0.54,"snr
    0.5
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J105233.83+454949.3,J105233.83+454949.3,Dong2025_SDSS_LAMOST,0.0,0.02,"snr
    0.02
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J1110+0804,J1110+0804,Yang2025_turn_on,0.0,0.08,"snr
    0.08
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64"
matched,J112229.65+214815.6,J112229.65+214815.6,Dong2025_SDSS_LAMOST,0.0,0.18,"snr
    0.18
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J120635.22+175312.3,J120635.22+175312.3,Dong2025_SDSS_LAMOST,0.0,0.36,"snr
    0.36
Name: (J120635.22+175312.3, J120635.22+175312.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J120635.22+175312.3, J120635.22+175312.3, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J122355.23+343856.6,J122355.23+343856.6,Dong2025_SDSS_LAMOST,0.0,0.0,"snr
    0.0
Name: (J122355.23+343856.6, J122355.23+343856.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J122355.23+343856.6, J122355.23+343856.6, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J131432.70+122718.5,J131432.70+122718.5,Dong2025_SDSS_LAMOST,0.0,0.06,"snr
    0.06
Name: (J131432.70+122718.5, J131432.70+122718.5, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J131432.70+122718.5, J131432.70+122718.5, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J133551.98+544450.1,J133551.98+544450.1,Dong2025_SDSS_LAMOST,0.0,0.44,"snr
    0.44
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J135255.68+252859.6,J135255.68+252859.6,Dong2025_SDSS_LAMOST,0.04,0.84,"snr
    0.8
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64"
matched,J140515.59+542458.0,J140515.59+542458.0,Zeltyn2024_SDSSV,0.0,0.02,"snr
    0.02
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64"
matched,SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,Potts2021,0.06,0.0,"snr
   -0.06
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64"
matched,SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,Ruan2016,0.24,0.44,"snr
    0.2
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64"
matched,SDSSJ015957.64+003310.4,SDSSJ015957.64+003310.4,LaMassa2015,0.26,1.0,"snr
    0.74
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64"
matched,SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,Green2022,0.0,0.0,"snr
    0.0
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64"
matched,SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,Potts2021,0.0,0.3,"snr
    0.3
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64"
matched,SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,Runnoe2016,1.0,1.0,"snr
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64"
matched,SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,MacLeod2016,0.22,0.88,"snr
    0.66
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64"
matched,SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,Green2022,0.04,1.0,"snr
    0.96
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64"
