transition_id,reference_tier,q1_set,source_family,instrument_pair,arm,snr,bright_epoch_action,faint_epoch_action,object_specific_crn,mc_realizations,seed_namespace,grid_status,execution_authorized,spectra_generated,object_id,condition_id
J114154.47+063509.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J114154.47+063509.6,J114154.47+063509.6|matched|snr5
J114154.47+063509.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J114154.47+063509.6,J114154.47+063509.6|matched|snr10
J114634.92+282642.0,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J114634.92+282642.0,J114634.92+282642.0|faint_only|snr5
J114634.92+282642.0,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J114634.92+282642.0,J114634.92+282642.0|matched|snr5
J120635.22+175312.3,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J120635.22+175312.3,J120635.22+175312.3|faint_only|snr5
J120635.22+175312.3,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J120635.22+175312.3,J120635.22+175312.3|faint_only|snr10
J120635.22+175312.3,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J120635.22+175312.3,J120635.22+175312.3|matched|snr5
J120635.22+175312.3,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J120635.22+175312.3,J120635.22+175312.3|matched|snr10
J121618.00+515946.1,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J121618.00+515946.1,J121618.00+515946.1|faint_only|snr5
J121618.00+515946.1,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False,J121618.00+515946.1,J121618.00+515946.1|faint_only|snr10
