series,wavelength_rest,flux
observed_bright,4798.2105094500803,17.493141174316406
observed_bright,4799.3169661960383,16.720813751220703
observed_bright,4800.4210427570924,16.515811920166016
observed_bright,4801.5280092471476,16.959980010986328
observed_bright,4802.6325944557502,17.651697158813477
observed_bright,4803.7400709247431,17.667978286743164
observed_bright,4804.8451650152283,16.680599212646484
observed_bright,4805.9505133311559,18.147245407104492
observed_bright,4807.0587549049133,17.836347579956055
observed_bright,4808.1646124542858,17.972784042358398
observed_bright,4809.2733645944109,18.55463981628418
observed_bright,4810.3797316118334,18.548774719238281
observed_bright,4811.4889945535424,18.978979110717773
observed_bright,4812.5958712737256,18.276576995849609
observed_bright,4813.7030026294424,18.207660675048828
observed_bright,4814.8130319101092,18.446254730224609
observed_bright,4815.9206733207175,18.450386047363281
observed_bright,4817.0312139913476,18.129980087280273
observed_bright,4818.1393656918281,17.85835075378418
observed_bright,4819.2504179880189,18.691011428833008
observed_bright,4820.3590802134622,19.86201286315918
observed_bright,4821.4679974851952,19.686285018920898
observed_bright,4822.5798173565245,19.252494812011719
observed_bright,4823.6892455059178,19.81170654296875
observed_bright,4824.8015775921367,20.110855102539062
observed_bright,4825.9115168545522,20.378341674804688
observed_bright,4827.0243613916355,19.434036254882812
observed_bright,4828.1348120025432,19.684560775756836
observed_bright,4829.245518071154,20.411483764648438
observed_bright,4830.3591314215537,19.980749130249023
observed_bright,4831.4703491919245,19.662784576416016
observed_bright,4832.5844755834669,19.938793182373047
observed_bright,4833.6962052913377,20.184320449829102
observed_bright,4834.8108449603806,19.405862808227539
observed_bright,4835.9230868416007,19.394355773925781
observed_bright,4837.0355845926033,20.827859878540039
observed_bright,4838.1509943151377,20.590152740478516
observed_bright,4839.2640045933276,20.226873397827148
observed_bright,4840.3799281845922,20.557064056396484
observed_bright,4841.4934512260897,20.481647491455078
observed_bright,4842.6098889228233,20.550277709960938
observed_bright,4843.7239249638587,21.388221740722656
observed_bright,4844.8382172874199,21.682392120361328
observed_bright,4845.955426279821,21.693204879760742
observed_bright,4847.0702319573275,22.148876190185547
observed_bright,4848.1879556473805,22.528934478759766
observed_bright,4849.3032749153354,22.888830184936523
observed_bright,4850.4215135401628,22.994518280029297
observed_bright,4851.5373466351748,22.155586242675781
observed_bright,4852.6534364261242,23.281505584716797
observed_bright,4853.7724475907971,22.920597076416016
observed_bright,4854.8890515637841,22.874446868896484
observed_bright,4856.0085782563701,23.093751907348633
